epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.6242,1.43772,3.11014,1.72576,0.33893,0.42168,0.26967,0.17284,1.17147,2.70921,1.55811,0.09604,4e-05,4e-05
2,112.698,1.17899,2.26781,1.53854,0.34848,0.3533,0.32644,0.15066,1.87531,2.92203,2.20815,0.0910894,8.9406e-05,8.9406e-05
3,177.33,1.03933,1.9256,1.41006,0.43069,0.37391,0.34323,0.12438,2.0568,3.11233,2.42161,0.0861382,0.000138152,0.000138152
4,238.162,1.29136,1.9319,1.60239,0.40194,0.37927,0.39145,0.20401,1.8993,2.7774,2.28791,0.0811862,0.000186238,0.000186238
5,302.867,1.18258,1.67935,1.43644,0.46762,0.52831,0.42653,0.26099,1.6331,2.81924,2.05084,0.0762337,0.000233664,0.000233664
6,356.316,1.13579,1.6041,1.51673,0.45144,0.44101,0.42143,0.2826,1.60364,2.77368,2.02769,0.0712804,0.00028043,0.00028043
7,405.431,1.08606,1.45504,1.39878,0.45344,0.53894,0.47027,0.29671,1.53747,2.19549,2.00584,0.0663265,0.000326536,0.000326536
8,455.424,1.04749,1.31282,1.37941,0.5446,0.63081,0.60099,0.36847,1.462,1.87239,1.93765,0.061372,0.000371982,0.000371982
9,503.354,1.05906,1.37434,1.37413,0.5398,0.61569,0.61903,0.37573,1.43983,1.87167,1.92385,0.0564168,0.000416768,0.000416768
10,554.35,1.12103,1.23626,1.44084,0.45638,0.66752,0.47214,0.27196,1.5519,2.19425,2.06455,0.0514609,0.000460894,0.000460894
11,605.448,1.21318,1.53142,1.55901,0.46783,0.58067,0.47519,0.26847,1.66141,2.25316,2.19761,0.0465044,0.00050436,0.00050436
12,660.305,1.14389,1.26814,1.40153,0.45159,0.6619,0.50767,0.30015,1.64354,2.18581,2.2203,0.0415472,0.000547166,0.000547166
